stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:44:41127:0:1","Linz/Donau Wambachsiedlung","48.2399487705094","14.3239156850178",""
"at:44:41127:0:2","Linz/Donau Wambachsiedlung","48.2403556055743","14.3249487475946",""
"at:44:41129:0:0","Linz/Donau Ehrentletzbergerstraße","48.3067937817634","14.3288833685396",""
"at:44:41129:0:1","Linz/Donau Ehrentletzbergerstraße","48.3070029088064","14.3286228571072",""
"at:44:41130:0:0","Linz/Donau Eichendorffstraße","48.2652262258277","14.2879740904951",""
"at:44:41130:0:1","Linz/Donau Eichendorffstraße","48.2653219047069","14.2881447703991",""
"at:44:41131:0:0","Linz/Donau Eisenhof","48.3151462469102","14.3116896139992",""
"at:44:41131:0:1","Linz/Donau Eisenhof","48.3151522210025","14.3119501254316",""
"at:44:41132:0:0","Linz/Donau Eisenwerkstraße","48.2764732468718","14.3047905526162",""
"at:44:41132:0:1","Linz/Donau Eisenwerkstraße","48.2764971613444","14.3054822553851",""
"at:44:41133:0:0","Linz/Donau Esterbachbrücke","48.3265435425234","14.3373634648229",""
"at:44:41133:0:1","Linz/Donau Esterbachbrücke","48.3260776652664","14.338441443164",""
"at:44:41134:0:0","Linz/Donau Europastraße","48.2647239087739","14.2824764009555",""
"at:44:41134:0:1","Linz/Donau Europastraße","48.2645504886446","14.2825392830254",""
"at:44:41135:0:0","Linz/Donau Ignaz-Mayer-Straße","48.3065010024635","14.3203583564921",""
"at:44:41135:0:1","Linz/Donau Ignaz-Mayer-Straße","48.3065428281806","14.3211039581781",""
"at:44:41136:0:0","Linz/Donau Fadingerstraße","48.3017864269667","14.2939748365939",""
"at:44:41137:0:0","Linz/Donau Falterweg","48.2514465973013","14.3590038800203",""
"at:44:41137:0:1","Linz/Donau Falterweg","48.2512731321276","14.359650667025",""
"at:44:41139:0:0","Linz/Donau Fernheizkraftwerk","48.2979439350146","14.3232419485546",""
"at:44:41139:0:1","Linz/Donau Fernheizkraftwerk","48.2998741809659","14.3215351495145",""
"at:44:41139:0:2","Linz/Donau Fernheizkraftwerk","48.3005673784182","14.3208254804399",""
"at:44:41140:0:0","Linz/Donau Florianer Straße","48.2436520468485","14.3331144335284",""
"at:44:41140:0:1","Linz/Donau Florianer Straße","48.243753748555","14.3326922253448",""
"at:44:41140:0:2","Linz/Donau Florianer Straße","48.2430777275343","14.3327551074147",""
"at:44:41140:0:3","Linz/Donau Florianer Straße","48.2430238847679","14.3326562927334",""
"at:44:41141:0:0","Linz/Donau Flötzerweg","48.253498226959","14.3083299148361",""
"at:44:41141:0:1","Linz/Donau Flötzerweg","48.2536118716767","14.3089856849936",""
"at:44:41142:0:0","Linz/Donau Grüne Mitte","48.2928400848491","14.3058236151931",""
"at:44:41142:0:1","Linz/Donau Grüne Mitte","48.2925352720322","14.3052307271055",""
"at:44:41143:0:0","Linz/Donau Franckstraße","48.2962705977343","14.3076202457616",""
"at:44:41143:0:1","Linz/Donau Franckstraße","48.2967905334053","14.307081256591",""
"at:44:41143:0:2","Linz/Donau Franckstraße","48.2963243844286","14.3068117620057",""
"at:44:41144:0:0","Linz/Donau Freinberg","48.298332380468","14.2674475862501",""
"at:44:41144:0:1","Linz/Donau Freinberg","48.2986969188975","14.267456569403",""
"at:44:41145:0:0","Linz/Donau Friedhofstraße","48.2949378648803","14.2971548727001",""
"at:44:41145:0:1","Linz/Donau Friedhofstraße","48.2940951772761","14.3005774539331",""
"at:44:41146:0:2","Linz/Donau Froschberg","48.2907063569201","14.2730890062352",""
"at:44:41146:0:3","Linz/Donau Froschberg","48.2909872729763","14.2728105284971",""
"at:44:41148:0:0","Linz/Donau Further Weg","48.3280844908249","14.3237090725024",""
"at:44:41148:0:1","Linz/Donau Further Weg","48.3286339650043","14.3220831218379",""
"at:44:41149:0:0","Linz/Donau Gallanderstraße","48.3179958095453","14.3058954804158",""
"at:44:41149:0:1","Linz/Donau Gallanderstraße","48.3176075137307","14.30508699666",""
"at:44:41150:0:0","Linz/Donau Garnisonstraße","48.3053896208531","14.3053475080924",""
"at:44:41150:0:1","Linz/Donau Garnisonstraße","48.3051386603659","14.3051319124242",""
"at:44:41151:0:0","Leonding Larnhauserweg","48.2751220609893","14.2734752818074",""
"at:44:41151:0:1","Leonding Larnhauserweg","48.2750562943928","14.2735381638773",""
"at:44:41153:0:0","Linz/Donau Donautal","48.3037822573274","14.2724691686891",""
"at:44:41153:0:1","Linz/Donau Donautal","48.3038420115242","14.2718044153787",""
"at:44:41154:0:0","Linz/Donau Goethekreuzung","48.2957685858554","14.2922680375538",""
"at:44:41154:0:1","Linz/Donau Goethekreuzung","48.295876160245","14.2922949870123",""
"at:44:41154:0:3","Linz/Donau Goethekreuzung","48.2960136160796","14.2916571831605",""
"at:44:41154:0:4","Linz/Donau Goethekreuzung","48.2961510715442","14.2916571831605",""
"at:44:41156:0:0","Linz/Donau Gründberg","48.3326234477987","14.2903905586097",""
"at:44:41156:0:1","Linz/Donau Gründberg","48.3321815144786","14.2901210640245",""
"at:44:41156:0:2","Linz/Donau Gründberg","48.3322531796015","14.2900491988017",""
"at:44:41156:0:3","Linz/Donau Gründberg","48.3324801184929","14.2898515694392",""
"at:44:41159:0:0","Linz/Donau Hamerlingstraße","48.2914654244118","14.2998138859415",""
"at:44:41160:0:0","Linz/Donau Hanriederstraße","48.2856974239932","14.2801497643694",""
"at:44:41160:0:1","Linz/Donau Hanriederstraße","48.2858588173197","14.280113831758",""
"at:44:41161:0:1","Linz/Donau Hanuschstraße","48.2840655294884","14.2921871891782",""
"at:44:41161:0:2","Linz/Donau Hanuschstraße","48.2834019970328","14.2920344755799",""
"at:44:41162:0:0","Linz/Donau Harbach","48.3272722138021","14.2850904984327",""
"at:44:41162:0:1","Linz/Donau Harbach","48.3266689702886","14.2847671049304",""
"at:44:41162:0:2","Linz/Donau Harbach","48.3272602684553","14.2850635489742",""
"at:44:41162:0:4","Linz/Donau Harbach","48.3270333063333","14.2842101494541",""
"at:44:41162:0:5","Linz/Donau Harbach","48.3266510520553","14.2842550652184",""
"at:44:41163:0:0","Linz/Donau Hatschekstraße","48.2748649729035","14.2931304202267",""
"at:44:41163:0:1","Linz/Donau Hatschekstraße","48.2747693118901","14.2937143251614",""
"at:44:41163:0:2","Linz/Donau Hatschekstraße","48.2749546549408","14.2922051554839",""
"at:44:41164:0:0","Linz/Donau Hauptbahnhof","48.2909992268168","14.2913068401997",""
"at:44:41164:0:25","Linz/Donau Hauptbahnhof","48.2910111806544","14.2913966717281",""
"at:44:41164:0:29","Linz/Donau Hauptbahnhof","48.2912681874872","14.2901749629415",""
"at:44:41164:0:30","Linz/Donau Hauptbahnhof","48.2910350883214","14.2903905586097",""
"at:44:41164:0:31","Linz/Donau Hauptbahnhof","48.2911068112549","14.2904444575268",""
"at:44:41164:0:32","Linz/Donau Hauptbahnhof","48.2914176094697","14.2903097102342",""
"at:44:41164:0:45","Linz/Donau Hauptbahnhof","48.29194357137","14.2923578690822",""
"at:44:41164:0:46","Linz/Donau Hauptbahnhof","48.2920989681674","14.2920434587328",""
"at:44:41164:0:48","Linz/Donau Hauptbahnhof","48.2917881740997","14.2921871891782",""
"at:44:41166:0:0","Linz/Donau Hauptplatz","48.3062739479725","14.2862313588437",""
"at:44:41166:0:1","Linz/Donau Hauptplatz","48.3063217490019","14.2863122072193",""
"at:44:41166:0:3","Linz/Donau Hauptplatz","48.3061962712042","14.2862223756908",""
"at:44:41166:0:5","Linz/Donau Hauptplatz","48.3064113758114","14.2864379713591",""
"at:44:41167:0:0","Leonding Sonnenhof","48.2949020061167","14.2615995537497",""
"at:44:41167:0:1","Leonding Sonnenhof","48.2948900531898","14.2607551373825",""
"at:44:41168:0:0","Linz/Donau Heilhamer Weg","48.3185155239335","14.292312953318",""
"at:44:41168:0:1","Linz/Donau Heilhamer Weg","48.3186827872082","14.2923039701652",""
"at:44:41171:0:0","Linz/Donau Hillerstraße","48.2478336149413","14.340777062903",""
"at:44:41171:0:1","Linz/Donau Hillerstraße","48.2481745861049","14.3403638378723",""
"at:44:41171:0:2","Linz/Donau Hillerstraße","48.248102802891","14.3401931579683",""
"at:44:41171:0:3","Linz/Donau Hillerstraße","48.2481865499641","14.340381804178",""
"at:44:41172:0:0","Linz/Donau Holzstraße","48.3112330661444","14.3025088317942",""
"at:44:41172:0:1","Linz/Donau Holzstraße","48.3115437418439","14.3028861242136",""
"at:44:41173:0:0","Linz/Donau Hopfengasse","48.2992885413","14.2812906247803",""
"at:44:41173:0:1","Linz/Donau Hopfengasse","48.2992467096382","14.2813804563088",""
"at:44:41174:0:0","Linz/Donau Hörzingerstraße","48.259676544381","14.2904175080683",""
"at:44:41174:0:1","Linz/Donau Hörzingerstraße","48.2586897383616","14.2907049689592",""
"at:44:41175:0:0","Linz/Donau Humboldtstraße","48.2970236062975","14.2950438317821",""
"at:44:41175:0:1","Linz/Donau Humboldtstraße","48.2972267971816","14.2962026584988",""
"at:44:41175:0:21","Linz/Donau Humboldtstraße","48.2974718204075","14.295394174743",""
"at:44:41176:0:0","Linz/Donau Im Hütterland","48.2523856916464","14.2932022854494",""
"at:44:41176:0:1","Linz/Donau Im Hütterland","48.2526727998508","14.2924117679993",""
"at:44:41177:0:0","Linz/Donau Industriezeile","48.3021091114153","14.318597658535",""
"at:44:41177:0:1","Linz/Donau Industriezeile","48.3019776476269","14.3188761362731",""
"at:44:41177:0:2","Linz/Donau Industriezeile","48.3020254526801","14.3189839341072",""
"at:44:41177:0:3","Linz/Donau Industriezeile","48.3013382507373","14.320250558658",""
"at:44:41177:0:4","Linz/Donau Industriezeile","48.3011709306029","14.3202236091995",""
"at:44:41179:0:0","Linz/Donau Jägermayr","48.3002984667309","14.2669265633853",""
"at:44:41179:0:1","Linz/Donau Jägermayr","48.3003940799376","14.2671241927478",""
"at:44:41180:0:0","Linz/Donau Johann-Strauß-Straße","48.2904194623315","14.2805360399416",""
"at:44:41180:0:1","Linz/Donau Johann-Strauß-Straße","48.2903357844396","14.2807875682212",""
"at:44:41181:0:0","Linz/Donau Kaplanhofstraße","48.306518927775","14.2998677848585",""
"at:44:41181:0:1","Linz/Donau Kaplanhofstraße","48.3070208339417","14.3000384647625",""
"at:44:41182:0:0","Linz/Donau Karl-Wiser-Straße","48.2954219557249","14.2874979833945",""
"at:44:41182:0:1","Linz/Donau Karl-Wiser-Straße","48.2956550348649","14.2872554382677",""
"at:44:41184:0:0","Linz/Donau Katzbachweg","48.3276246002758","14.330572201274",""
"at:44:41184:0:1","Linz/Donau Katzbachweg","48.3277261349096","14.3305991507325",""
"at:44:41185:0:0","Linz/Donau Keferfeld","48.2767781555585","14.2774368522109",""
"at:44:41185:0:1","Linz/Donau Keferfeld","48.2773341608318","14.2772212565427",""
"at:44:41185:0:3","Linz/Donau Keferfeld","48.2764194392676","14.2781555044383",""
"at:44:41187:0:0","Linz/Donau Klammstraße","48.3026110609476","14.2822069063703",""
"at:44:41187:0:1","Linz/Donau Klammstraße","48.3024736228759","14.2829884406676",""
"at:44:41194:0:0","Linz/Donau Kopernikusstraße","48.2738844390264","14.2985742108492",""
"at:44:41194:0:1","Linz/Donau Kopernikusstraße","48.2738425865519","14.2987538739061",""
"at:44:41195:0:0","Linz/Donau Johann-Metz-Straße","48.3077079593798","14.3259279112545",""
"at:44:41195:0:1","Linz/Donau Johann-Metz-Straße","48.3075824849902","14.3259638438658",""
"at:44:41196:0:0","Linz/Donau Kudlichstraße","48.2850219575005","14.2856474539089",""
"at:44:41196:0:1","Linz/Donau Kudlichstraße","48.285464299399","14.2863211903721",""
"at:44:41196:0:2","Linz/Donau Kudlichstraße","48.2853029048259","14.284219132607",""
"at:44:41197:0:0","Linz/Donau Landwiedstraße","48.267199566461","14.2855396560748",""
"at:44:41197:0:1","Linz/Donau Landwiedstraße","48.2678872278705","14.2850096500571",""
"at:44:41197:0:2","Linz/Donau Landwiedstraße","48.2667929449266","14.2856564370618",""
"at:44:41197:0:3","Linz/Donau Landwiedstraße","48.2678513501127","14.2857193191317",""
